n_records,block,feature,fitted,n_levels,modal_share,undefined_share,available_at,carries_information,status

129057,acq_pre,arrival_to_acquisition_minutes,True,90,0.07024802994025896,0.0,index_time,True,varies

129057,acq_pre,acquisition_hour_of_day,True,24,0.07275854854831586,0.0,index_time,True,varies

129057,acq_pre,acquisition_day_of_week,True,7,0.14495145555839667,0.0,index_time,True,varies

129057,acq_pre,acquisition_month,True,12,0.08614798112461935,0.0,index_time,True,varies

129057,acq_pre,triage_acuity,True,5,0.5198219711694844,0.023323027809417543,ed_arrival_time,True,varies

129057,acq_pre,ecg_no_within_stay,True,7,0.9396623197501879,0.0,index_time,True,varies

129057,acq_pre,prior_ecg_exists,True,2,0.6789015706238328,0.0,index_time,True,varies

129057,acq_pre,days_since_prior_ecg,True,70207,0.00641428033372519,0.3210984293761671,index_time,True,varies

129057,acq_pre,prior_ed_visit_count,True,154,0.4468335696630171,0.0,ed_arrival_time,True,varies

129057,acq_window,n_ecgs_first_90min,True,7,0.8867167220685434,0.0,window_close,True,varies

129057,acq_window,inter_ecg_interval_minutes,True,189,0.06053351573187415,0.8867167220685434,window_close,True,varies

129057,acq_window,care_unit_at_acquisition,True,1,1.0,0.0,window_close,False,constant

129057,acq_window,cardiologist_overread_exists,False,0,,,window_close,False,dropped

