arm,label,scheme,n_bins,n_occupied,count_min,count_max
R1_prevalence,deterioration_icu_24h,equal_width,15,1,6407,6407
R1_prevalence,deterioration_icu_24h,equal_mass,15,1,6407,6407
R1_prevalence,deterioration_mortality_28d,equal_width,15,1,6428,6428
R1_prevalence,deterioration_mortality_28d,equal_mass,15,1,6428,6428
R1_prevalence,deterioration_mortality_365d,equal_width,15,1,6428,6428
R1_prevalence,deterioration_mortality_365d,equal_mass,15,1,6428,6428
R2_demo,deterioration_icu_24h,equal_width,15,3,105,4030
R2_demo,deterioration_icu_24h,equal_mass,15,15,397,464
R2_demo,deterioration_mortality_28d,equal_width,15,2,64,6364
R2_demo,deterioration_mortality_28d,equal_mass,15,15,367,504
R2_demo,deterioration_mortality_365d,equal_width,15,4,116,3420
R2_demo,deterioration_mortality_365d,equal_mass,15,15,254,596
R3_acqctx_pre,deterioration_icu_24h,equal_width,15,12,7,2951
R3_acqctx_pre,deterioration_icu_24h,equal_mass,15,15,427,428
R3_acqctx_pre,deterioration_mortality_28d,equal_width,15,4,1,6002
R3_acqctx_pre,deterioration_mortality_28d,equal_mass,15,15,428,429
R3_acqctx_pre,deterioration_mortality_365d,equal_width,15,7,3,2216
R3_acqctx_pre,deterioration_mortality_365d,equal_mass,15,15,428,429
R3b_acqctx_window,deterioration_icu_24h,equal_width,15,11,2,2779
R3b_acqctx_window,deterioration_icu_24h,equal_mass,15,15,427,428
R3b_acqctx_window,deterioration_mortality_28d,equal_width,15,6,3,5340
R3b_acqctx_window,deterioration_mortality_28d,equal_mass,15,15,428,429
R3b_acqctx_window,deterioration_mortality_365d,equal_width,15,8,2,1809
R3b_acqctx_window,deterioration_mortality_365d,equal_mass,15,15,428,429
R4_demo_acq,deterioration_icu_24h,equal_width,15,12,24,3072
R4_demo_acq,deterioration_icu_24h,equal_mass,15,15,427,428
R4_demo_acq,deterioration_mortality_28d,equal_width,15,7,1,5278
R4_demo_acq,deterioration_mortality_28d,equal_mass,15,15,428,429
R4_demo_acq,deterioration_mortality_365d,equal_width,15,6,13,3343
R4_demo_acq,deterioration_mortality_365d,equal_mass,15,15,428,429
R5_tabular,deterioration_icu_24h,equal_width,15,15,49,4460
R5_tabular,deterioration_icu_24h,equal_mass,15,15,424,430
R5_tabular,deterioration_mortality_28d,equal_width,15,14,1,5563
R5_tabular,deterioration_mortality_28d,equal_mass,15,15,428,429
R5_tabular,deterioration_mortality_365d,equal_width,15,13,22,3080
R5_tabular,deterioration_mortality_365d,equal_mass,15,15,427,430
R6_waveform,deterioration_icu_24h,equal_width,15,10,9,1584
R6_waveform,deterioration_icu_24h,equal_mass,15,15,427,428
R6_waveform,deterioration_mortality_28d,equal_width,15,9,2,1835
R6_waveform,deterioration_mortality_28d,equal_mass,15,15,428,429
R6_waveform,deterioration_mortality_365d,equal_width,15,10,14,1221
R6_waveform,deterioration_mortality_365d,equal_mass,15,15,428,429
R7_waveform_demo_acq,deterioration_icu_24h,equal_width,15,12,1,1606
R7_waveform_demo_acq,deterioration_icu_24h,equal_mass,15,15,427,428
R7_waveform_demo_acq,deterioration_mortality_28d,equal_width,15,9,6,2117
R7_waveform_demo_acq,deterioration_mortality_28d,equal_mass,15,15,428,429
R7_waveform_demo_acq,deterioration_mortality_365d,equal_width,15,11,2,1257
R7_waveform_demo_acq,deterioration_mortality_365d,equal_mass,15,15,428,429
