arm,label,scheme,bin,n,mean_predicted,observed_rate,gap
R1_prevalence,deterioration_icu_24h,equal_width,1,6407,0.12173875544439727,0.12595598564070548,0.004217230196308208
R1_prevalence,deterioration_icu_24h,equal_mass,0,6407,0.12173875544439727,0.12595598564070548,0.004217230196308208
R1_prevalence,deterioration_mortality_28d,equal_width,0,6428,0.03999827742129592,0.04215930304915993,0.0021610256278640078
R1_prevalence,deterioration_mortality_28d,equal_mass,0,6428,0.03999827742129592,0.04215930304915993,0.0021610256278640078
R1_prevalence,deterioration_mortality_365d,equal_width,2,6428,0.13797855389520097,0.14250155569383946,0.004523001798638487
R1_prevalence,deterioration_mortality_365d,equal_mass,0,6428,0.13797855389520097,0.14250155569383946,0.004523001798638487
R2_demo,deterioration_icu_24h,equal_width,0,105,0.06521098564147398,0.08571428571428572,0.02050330007281173
R2_demo,deterioration_icu_24h,equal_width,1,4030,0.10769991417935412,0.10446650124069479,-0.0032334129386593358
R2_demo,deterioration_icu_24h,equal_width,2,2272,0.14937312825251992,0.16593309859154928,0.016559970339029367
R2_demo,deterioration_icu_24h,equal_mass,0,438,0.06968632909117285,0.04337899543378995,-0.0263073336573829
R2_demo,deterioration_icu_24h,equal_mass,1,448,0.0814791480803789,0.08035714285714286,-0.0011220052232360361
R2_demo,deterioration_icu_24h,equal_mass,2,404,0.09307229276921987,0.09405940594059406,0.0009871131713741904
R2_demo,deterioration_icu_24h,equal_mass,3,464,0.10416739432688368,0.10991379310344827,0.00574639877656459
R2_demo,deterioration_icu_24h,equal_mass,4,397,0.11154051622010606,0.09319899244332494,-0.018341523776781124
R2_demo,deterioration_icu_24h,equal_mass,5,456,0.11532289247153274,0.09868421052631579,-0.01663868194521695
R2_demo,deterioration_icu_24h,equal_mass,6,404,0.11840313900230771,0.12623762376237624,0.007834484760068525
R2_demo,deterioration_icu_24h,equal_mass,7,438,0.12271899346034904,0.1141552511415525,-0.00856374231879653
R2_demo,deterioration_icu_24h,equal_mass,8,442,0.12909761526061506,0.15384615384615385,0.0247485385855388
R2_demo,deterioration_icu_24h,equal_mass,9,412,0.13347281493381055,0.1407766990291262,0.007303884095315655
R2_demo,deterioration_icu_24h,equal_mass,10,409,0.1382132437959256,0.15647921760391198,0.01826597380798639
R2_demo,deterioration_icu_24h,equal_mass,11,428,0.14222875003109797,0.12850467289719625,-0.013724077133901724
R2_demo,deterioration_icu_24h,equal_mass,12,434,0.1488846251772715,0.16589861751152074,0.017013992334249245
R2_demo,deterioration_icu_24h,equal_mass,13,436,0.1552969346158185,0.1834862385321101,0.028189303916291597
R2_demo,deterioration_icu_24h,equal_mass,14,397,0.16891268980940005,0.20906801007556675,0.040155320266166694
R2_demo,deterioration_mortality_28d,equal_width,0,6364,0.03959432267867478,0.04116907605279698,0.0015747533741222036
R2_demo,deterioration_mortality_28d,equal_width,1,64,0.06853417728557576,0.140625,0.07209082271442424
R2_demo,deterioration_mortality_28d,equal_mass,0,504,0.03020443834483735,0.0,-0.03020443834483735
R2_demo,deterioration_mortality_28d,equal_mass,1,367,0.03035814977888357,0.010899182561307902,-0.019458967217575666
R2_demo,deterioration_mortality_28d,equal_mass,2,427,0.03172867488299127,0.00936768149882904,-0.02236099338416223
R2_demo,deterioration_mortality_28d,equal_mass,3,439,0.03303695181258485,0.02050113895216401,-0.012535812860420839
