arm,label,unit,auroc,ci_lo,ci_hi,seed_mean,seed_min,seed_max,seed_spread,n_seeds,n_items,n_groups,n_positives,prevalence
R1_prevalence,deterioration_icu_24h,record,0.5,0.5,0.5,0.5,0.5,0.5,0.0,5,6407,3626,807,0.12595598564070548
R1_prevalence,deterioration_mortality_28d,record,0.5,0.5,0.5,0.5,0.5,0.5,0.0,5,6428,3636,271,0.04215930304915993
R1_prevalence,deterioration_mortality_365d,record,0.5,0.5,0.5,0.5,0.5,0.5,0.0,5,6428,3636,916,0.14250155569383946
R2_demo,deterioration_icu_24h,record,0.6016879093644892,0.5751902161404702,0.6270676370057853,0.6021651398477607,0.60038358559037,0.6052587847406621,0.004875199150292109,5,6407,3626,807,0.12595598564070548
R2_demo,deterioration_mortality_180d,record,0.7316298445167355,0.7051296835326528,0.7570410092500378,0.7309440124567519,0.7303229785506534,0.7316194800425994,0.001296501491945934,5,6428,3636,642,0.0998755444928438
R2_demo,deterioration_mortality_1d,record,0.6791241030037976,0.5882646600307717,0.7657549538729169,0.6745129906485247,0.6610770033048491,0.6874518109485525,0.02637480764370337,5,6428,3636,49,0.007622899813316739
R2_demo,deterioration_mortality_28d,record,0.6962665720534094,0.6607877716107239,0.7306935309583146,0.6955563732996435,0.6944299441370246,0.6967831892059378,0.0023532450689132123,5,6428,3636,271,0.04215930304915993
R2_demo,deterioration_mortality_365d,record,0.7457553903828724,0.7205256134194865,0.7695757116132945,0.7448070228671386,0.7428421356183571,0.7457155804564555,0.0028734448380983713,5,6428,3636,916,0.14250155569383946
R2_demo,deterioration_mortality_7d,record,0.6876733525463724,0.6324401566705455,0.740985210194014,0.6876733525463724,0.6876733525463724,0.6876733525463724,0.0,5,6428,3636,123,0.01913503422526447
R2_demo,deterioration_mortality_90d,record,0.7223529226544858,0.6939089989134012,0.7498278468951534,0.7217240339190581,0.7199421705749773,0.7226148403572242,0.0026726697822468948,5,6428,3636,469,0.07296204107031737
R3_acqctx_pre,deterioration_icu_24h,record,0.7971999468932555,0.7806223460225721,0.8138348456761821,0.7957789431757833,0.793672995220393,0.7979249645955037,0.004251969375110631,5,6407,3626,807,0.12595598564070548
R3_acqctx_pre,deterioration_mortality_180d,record,0.7345826428170694,0.7125845712001093,0.7554115748355835,0.7335955679893351,0.7323186109343318,0.7345496649448179,0.0022310540104860666,5,6428,3636,642,0.0998755444928438
R3_acqctx_pre,deterioration_mortality_1d,record,0.773729808587489,0.683319158584804,0.8548842856004538,0.7591200079341973,0.7394975861484271,0.7772570072079623,0.037759421059535225,5,6428,3636,49,0.007622899813316739
R3_acqctx_pre,deterioration_mortality_28d,record,0.7586963387905765,0.7263843102091624,0.79034374590703,0.751303739121523,0.7372573262844858,0.7579519785777685,0.02069465229328271,5,6428,3636,271,0.04215930304915993
R3_acqctx_pre,deterioration_mortality_365d,record,0.7241058215184337,0.7029247799287801,0.7441125634113148,0.7229366376496537,0.7208850796356976,0.7251714797725962,0.004286400136898627,5,6428,3636,916,0.14250155569383946
R3_acqctx_pre,deterioration_mortality_7d,record,0.8100978059740946,0.7619544551356574,0.8541710023000663,0.8100978059740946,0.8100978059740946,0.8100978059740946,0.0,5,6428,3636,123,0.01913503422526447
R3_acqctx_pre,deterioration_mortality_90d,record,0.7384121990674728,0.7127382857711803,0.7626528975297908,0.7365146196235756,0.7336801476757845,0.7390471348099719,0.005366987134187373,5,6428,3636,469,0.07296204107031737
R3b_acqctx_window,deterioration_icu_24h,record,0.8009957514604354,0.7844929359659898,0.8173635611713485,0.8002948309435298,0.7978998495308904,0.8014926314391928,0.003592781908302367,5,6407,3626,807,0.12595598564070548
R3b_acqctx_window,deterioration_mortality_28d,record,0.7636842114726166,0.7302641139507727,0.7958082184921851,0.7596823463768176,0.7572046217457464,0.7618772500864525,0.004672628340706031,5,6428,3636,271,0.04215930304915993
R3b_acqctx_window,deterioration_mortality_365d,record,0.7272350599882115,0.7057214159612204,0.747444679287476,0.7256039819433265,0.7235114454528746,0.7273745927900064,0.003863147337131778,5,6428,3636,916,0.14250155569383946
R4_demo_acq,deterioration_icu_24h,record,0.8093587360594795,0.7927995163813679,0.8254558772702772,0.8086328553726323,0.8075685962117188,0.8099588422729687,0.0023902460612498233,5,6407,3626,807,0.12595598564070548
R4_demo_acq,deterioration_mortality_28d,record,0.8101851491147687,0.7818403287210419,0.8370784712357014,0.8090446358418433,0.8065220817873275,0.8109957346122105,0.00447365282488299,5,6428,3636,271,0.04215930304915993
R4_demo_acq,deterioration_mortality_365d,record,0.8032795456994188,0.7831604098018676,0.8220566172014621,0.8011508237683879,0.7962227906085017,0.8034148202255025,0.007192029617000828,5,6428,3636,916,0.14250155569383946
R5_tabular,deterioration_icu_24h,record,0.9163855328376704,0.9046447741488827,0.9278321751205216,0.9157878385554966,0.9149720083200567,0.9165483935209772,0.001576385200920516,5,6407,3626,807,0.12595598564070548
R5_tabular,deterioration_mortality_28d,record,0.9102110998371638,0.8883743835947363,0.929405966566392,0.9062068374459933,0.9036395139004175,0.9100747536629175,0.006435239762499934,5,6428,3636,271,0.04215930304915993
R5_tabular,deterioration_mortality_365d,record,0.8533416174951357,0.8371400402141621,0.8689124101877406,0.8525153931715479,0.8512273340896559,0.8541466296639012,0.0029192955742453064,5,6428,3636,916,0.14250155569383946
R6_waveform,deterioration_icu_24h,record,0.8173201009028147,0.799495588148914,0.8342443443318549,0.8122009869003364,0.8053990750575323,0.8144961497610197,0.009097074703487418,5,6407,3626,807,0.12595598564070548
R6_waveform,deterioration_mortality_180d,record,0.8366117376458161,0.8184539992308435,0.8544728940982982,0.8297160241769532,0.8253683022614475,0.8362579994895833,0.01088969722813582,5,6428,3636,642,0.0998755444928438
R6_waveform,deterioration_mortality_1d,record,0.9375469893240256,0.9047743929353755,0.9629116030389401,0.9311350061266079,0.9183193578418983,0.939616919035995,0.021297561194096648,5,6428,3636,49,0.007622899813316739
R6_waveform,deterioration_mortality_28d,record,0.847317456445638,0.8221987097301903,0.8714269157356319,0.8404695822173425,0.8313191057848536,0.8502942979730268,0.01897519218817323,5,6428,3636,271,0.04215930304915993
R6_waveform,deterioration_mortality_365d,record,0.8294210012612419,0.8109116866316213,0.8473626044749081,0.8230963526977266,0.8176028007174502,0.8305651900418936,0.01296238932444338,5,6428,3636,916,0.14250155569383946
R6_waveform,deterioration_mortality_7d,record,0.8909859899550622,0.8626265647017872,0.9168014003826784,0.8842178423370278,0.8700295932380419,0.8890401861988485,0.01901059296080665,5,6428,3636,123,0.01913503422526447
R6_waveform,deterioration_mortality_90d,record,0.8359064123679543,0.8159968367557905,0.8557807370454787,0.8289999431080399,0.8224688176598369,0.8371705588758435,0.014701741216006536,5,6428,3636,469,0.07296204107031737
R7_waveform_demo_acq,deterioration_icu_24h,record,0.8570939546822447,0.8423950582536511,0.8713341074705403,0.8543699548592671,0.8532859798194371,0.8552865551425031,0.0020005753230659673,5,6407,3626,807,0.12595598564070548
R7_waveform_demo_acq,deterioration_mortality_180d,record,0.8566388629552696,0.8399123477257826,0.8724635972314272,0.8526688386297142,0.848355898274167,0.8563971149611319,0.008041216686964892,5,6428,3636,642,0.0998755444928438
R7_waveform_demo_acq,deterioration_mortality_1d,record,0.9359953418583298,0.9058379057889107,0.9632119692043788,0.9322547517204092,0.9262311602803843,0.9379692933765449,0.011738133096160563,5,6428,3636,49,0.007622899813316739
R7_waveform_demo_acq,deterioration_mortality_28d,record,0.8723266410835295,0.8484509074081512,0.8947280857655693,0.8684149142936939,0.8651467414463003,0.8717252196072391,0.0065784781609388165,5,6428,3636,271,0.04215930304915993
R7_waveform_demo_acq,deterioration_mortality_365d,record,0.8533051745774206,0.8364689843692841,0.8692772101044612,0.84975941732528,0.8481200802061085,0.8523325051812323,0.004212424975123752,5,6428,3636,916,0.14250155569383946
R7_waveform_demo_acq,deterioration_mortality_7d,record,0.9216211162904651,0.9002753904498667,0.9409030791258778,0.9177661296041985,0.9154626280600633,0.9200763363700251,0.004613708309961773,5,6428,3636,123,0.01913503422526447
R7_waveform_demo_acq,deterioration_mortality_90d,record,0.8588102567258641,0.8404559826611173,0.876732706143732,0.8547690311657019,0.8497647928935859,0.8586651643372569,0.008900371443671062,5,6428,3636,469,0.07296204107031737
