arm,label,unit,seed_spread,seed_sd,n_seeds,source
R1_prevalence,deterioration_icu_24h,record,0.0,0.0,5,"per-seed record-level AUROC of this exact (arm, label)"
R1_prevalence,deterioration_mortality_28d,record,0.0,0.0,5,"per-seed record-level AUROC of this exact (arm, label)"
R1_prevalence,deterioration_mortality_365d,record,0.0,0.0,5,"per-seed record-level AUROC of this exact (arm, label)"
R2_demo,deterioration_icu_24h,record,0.004875199150292109,0.0018701209680318848,5,"per-seed record-level AUROC of this exact (arm, label)"
R2_demo,deterioration_mortality_180d,record,0.001296501491945934,0.00047246998543693045,5,"per-seed record-level AUROC of this exact (arm, label)"
R2_demo,deterioration_mortality_1d,record,0.02637480764370337,0.010607696726619218,5,"per-seed record-level AUROC of this exact (arm, label)"
R2_demo,deterioration_mortality_28d,record,0.0023532450689132123,0.0009245352666297606,5,"per-seed record-level AUROC of this exact (arm, label)"
R2_demo,deterioration_mortality_365d,record,0.0028734448380983713,0.0011778711185113705,5,"per-seed record-level AUROC of this exact (arm, label)"
R2_demo,deterioration_mortality_7d,record,0.0,0.0,5,"per-seed record-level AUROC of this exact (arm, label)"
R2_demo,deterioration_mortality_90d,record,0.0026726697822468948,0.001033138626457563,5,"per-seed record-level AUROC of this exact (arm, label)"
R3_acqctx_pre,deterioration_icu_24h,record,0.004251969375110631,0.0015265282756524846,5,"per-seed record-level AUROC of this exact (arm, label)"
R3_acqctx_pre,deterioration_mortality_180d,record,0.0022310540104860666,0.0009298895181367674,5,"per-seed record-level AUROC of this exact (arm, label)"
R3_acqctx_pre,deterioration_mortality_1d,record,0.037759421059535225,0.014626573657958844,5,"per-seed record-level AUROC of this exact (arm, label)"
R3_acqctx_pre,deterioration_mortality_28d,record,0.02069465229328271,0.008499766766044383,5,"per-seed record-level AUROC of this exact (arm, label)"
R3_acqctx_pre,deterioration_mortality_365d,record,0.004286400136898627,0.001852277771314446,5,"per-seed record-level AUROC of this exact (arm, label)"
R3_acqctx_pre,deterioration_mortality_7d,record,0.0,0.0,5,"per-seed record-level AUROC of this exact (arm, label)"
R3_acqctx_pre,deterioration_mortality_90d,record,0.005366987134187373,0.002476964405966698,5,"per-seed record-level AUROC of this exact (arm, label)"
R3b_acqctx_window,deterioration_icu_24h,record,0.003592781908302367,0.0014733514510211865,5,"per-seed record-level AUROC of this exact (arm, label)"
R3b_acqctx_window,deterioration_mortality_28d,record,0.004672628340706031,0.0021145120731681745,5,"per-seed record-level AUROC of this exact (arm, label)"
R3b_acqctx_window,deterioration_mortality_365d,record,0.003863147337131778,0.0016451041434790714,5,"per-seed record-level AUROC of this exact (arm, label)"
R4_demo_acq,deterioration_icu_24h,record,0.0023902460612498233,0.0009180843345075565,5,"per-seed record-level AUROC of this exact (arm, label)"
R4_demo_acq,deterioration_mortality_28d,record,0.00447365282488299,0.0017853443213872418,5,"per-seed record-level AUROC of this exact (arm, label)"
R4_demo_acq,deterioration_mortality_365d,record,0.007192029617000828,0.0028324955069312313,5,"per-seed record-level AUROC of this exact (arm, label)"
R5_tabular,deterioration_icu_24h,record,0.001576385200920516,0.0006288335835317788,5,"per-seed record-level AUROC of this exact (arm, label)"
R5_tabular,deterioration_mortality_28d,record,0.006435239762499934,0.002609224326093516,5,"per-seed record-level AUROC of this exact (arm, label)"
R5_tabular,deterioration_mortality_365d,record,0.0029192955742453064,0.0011823105087734559,5,"per-seed record-level AUROC of this exact (arm, label)"
R6_waveform,deterioration_icu_24h,record,0.009097074703487418,0.0038321131084286717,5,"per-seed record-level AUROC of this exact (arm, label)"
R6_waveform,deterioration_mortality_180d,record,0.01088969722813582,0.004578410279782814,5,"per-seed record-level AUROC of this exact (arm, label)"
R6_waveform,deterioration_mortality_1d,record,0.021297561194096648,0.008417993871177629,5,"per-seed record-level AUROC of this exact (arm, label)"
R6_waveform,deterioration_mortality_28d,record,0.01897519218817323,0.0067206562101181965,5,"per-seed record-level AUROC of this exact (arm, label)"
R6_waveform,deterioration_mortality_365d,record,0.01296238932444338,0.005103961937455371,5,"per-seed record-level AUROC of this exact (arm, label)"
R6_waveform,deterioration_mortality_7d,record,0.01901059296080665,0.008034440719682701,5,"per-seed record-level AUROC of this exact (arm, label)"
R6_waveform,deterioration_mortality_90d,record,0.014701741216006536,0.005501637308061737,5,"per-seed record-level AUROC of this exact (arm, label)"
R7_waveform_demo_acq,deterioration_icu_24h,record,0.0020005753230659673,0.000797592659372861,5,"per-seed record-level AUROC of this exact (arm, label)"
R7_waveform_demo_acq,deterioration_mortality_180d,record,0.008041216686964892,0.002895738804989259,5,"per-seed record-level AUROC of this exact (arm, label)"
R7_waveform_demo_acq,deterioration_mortality_1d,record,0.011738133096160563,0.004273814238747904,5,"per-seed record-level AUROC of this exact (arm, label)"
R7_waveform_demo_acq,deterioration_mortality_28d,record,0.0065784781609388165,0.002523073358103405,5,"per-seed record-level AUROC of this exact (arm, label)"
R7_waveform_demo_acq,deterioration_mortality_365d,record,0.004212424975123752,0.0018519966101821302,5,"per-seed record-level AUROC of this exact (arm, label)"
R7_waveform_demo_acq,deterioration_mortality_7d,record,0.004613708309961773,0.0017479747182346508,5,"per-seed record-level AUROC of this exact (arm, label)"
R7_waveform_demo_acq,deterioration_mortality_90d,record,0.008900371443671062,0.003196236006018633,5,"per-seed record-level AUROC of this exact (arm, label)"
