contrast,label,p_value,p_holm_final,holm_family_size,phase
R3_acqctx_pre - R2_demo,deterioration_icu_24h,0.0,0.0,15,P3
R3_acqctx_pre - R6_waveform,deterioration_mortality_28d,0.0,0.0,15,P3
R3_acqctx_pre - R6_waveform,deterioration_mortality_365d,0.0,0.0,15,P3
R7_waveform_demo_acq - R6_waveform,deterioration_icu_24h,0.0,0.0,15,P3
R7_waveform_demo_acq - R6_waveform,deterioration_mortality_28d,0.0,0.0,15,P3
R7_waveform_demo_acq - R6_waveform,deterioration_mortality_365d,0.0,0.0,15,P3
R8_waveform_matched - R6_waveform,deterioration_icu_24h,0.0,0.0,15,P4
R8_waveform_matched - R6_waveform,deterioration_mortality_28d,0.0,0.0,15,P4
R8_waveform_matched - R6_waveform,deterioration_mortality_365d,0.0,0.0,15,P4
R3_acqctx_pre - R2_demo,deterioration_mortality_28d,0.0108,0.0648,15,P3
R4_demo_acq - R6_waveform,deterioration_mortality_28d,0.0128,0.0648,15,P3
R4_demo_acq - R6_waveform,deterioration_mortality_365d,0.0152,0.0648,15,P3
R3_acqctx_pre - R6_waveform,deterioration_icu_24h,0.0478,0.1434,15,P3
R3_acqctx_pre - R2_demo,deterioration_mortality_365d,0.177,0.354,15,P3
R4_demo_acq - R6_waveform,deterioration_icu_24h,0.4368,0.4368,15,P3
