label,variable,level,scale,held_fixed,smd_before,smd_after
deterioration_icu_24h,delay_bucket,15-30,coarsened,yes,0.17098099643903425,0.0
deterioration_icu_24h,delay_bucket,30-60,coarsened,yes,0.1698253856061855,0.0
deterioration_icu_24h,delay_bucket,<=15,coarsened,yes,-0.26406340704136794,0.0
deterioration_icu_24h,delay_bucket,>60,coarsened,yes,-0.011142247520658052,0.0
deterioration_icu_24h,hour_bucket,00-06,coarsened,yes,0.07648054388319973,0.0
deterioration_icu_24h,hour_bucket,06-12,coarsened,yes,-0.08377386993493714,0.0
deterioration_icu_24h,hour_bucket,12-18,coarsened,yes,-0.06629379243471285,0.0
deterioration_icu_24h,hour_bucket,18-24,coarsened,yes,0.09193499902958606,0.0
deterioration_icu_24h,acuity_level,-1.0,coarsened,yes,0.4351598462067205,0.0
deterioration_icu_24h,acuity_level,1.0,coarsened,yes,0.6814589398672569,0.0
deterioration_icu_24h,acuity_level,2.0,coarsened,yes,-0.13825863700603383,0.0
deterioration_icu_24h,acuity_level,3.0,coarsened,yes,-0.7888528195043772,0.0
deterioration_icu_24h,acuity_level,4.0,coarsened,yes,-0.09081939272157649,0.0
deterioration_icu_24h,arrival_to_acquisition_minutes,(continuous),underlying,yes,0.13463064684643825,0.04825766459772924
deterioration_icu_24h,acquisition_hour_of_day,(continuous),underlying,yes,0.04355257589072316,0.04815702564409568
deterioration_icu_24h,acquisition_day_of_week,(continuous),underlying,no,-0.01486139344835888,-0.0273010307460639
deterioration_icu_24h,acquisition_month,(continuous),underlying,no,-0.005241521742111476,0.017316295563379897
deterioration_icu_24h,triage_acuity,(continuous),underlying,yes,-1.0012829667229284,0.0
deterioration_icu_24h,ecg_no_within_stay,(continuous),underlying,no,0.17078097080741472,0.08738784819078978
deterioration_icu_24h,prior_ecg_exists,(continuous),underlying,no,-0.12359804215333056,-0.08945990600822523
deterioration_icu_24h,days_since_prior_ecg,(continuous),underlying,no,-0.11548324420187524,-0.04341182689833843
deterioration_icu_24h,prior_ed_visit_count,(continuous),underlying,no,-0.21171318591648788,-0.1428128725292114
deterioration_mortality_28d,delay_bucket,15-30,coarsened,yes,0.1749116780226495,0.0
deterioration_mortality_28d,delay_bucket,30-60,coarsened,yes,0.1430932379388006,0.0
deterioration_mortality_28d,delay_bucket,<=15,coarsened,yes,-0.252255327987836,0.0
deterioration_mortality_28d,delay_bucket,>60,coarsened,yes,-0.007181547695250824,0.0
deterioration_mortality_28d,hour_bucket,00-06,coarsened,yes,-0.022017152968297163,0.0
deterioration_mortality_28d,hour_bucket,06-12,coarsened,yes,-0.054977338342905455,0.0
deterioration_mortality_28d,hour_bucket,12-18,coarsened,yes,0.03672480135658533,0.0
