stratum,n_records,n_patients,n_pos__deterioration_icu_24h,n_neg__deterioration_icu_24h,n_pairs__deterioration_icu_24h,n_pos__deterioration_mortality_28d,n_neg__deterioration_mortality_28d,n_pairs__deterioration_mortality_28d,n_pos__deterioration_mortality_365d,n_neg__deterioration_mortality_365d,n_pairs__deterioration_mortality_365d
<=15|12-18|2.0,744,643,64,680,43520,22,722,15884,93,651,60543
<=15|18-24|2.0,524,436,51,473,24123,8,516,4128,63,461,29043
<=15|12-18|3.0,488,434,5,483,2415,3,485,1455,31,457,14167
<=15|06-12|2.0,409,352,29,380,11020,10,399,3990,51,358,18258
<=15|18-24|3.0,350,311,6,344,2064,5,345,1725,15,335,5025
15-30|12-18|2.0,326,288,51,275,14025,21,305,6405,78,248,19344
<=15|06-12|3.0,284,262,4,280,1120,2,282,564,15,269,4035
<=15|00-06|2.0,201,182,19,182,3458,5,196,980,17,184,3128
15-30|18-24|2.0,195,182,26,169,4394,7,188,1316,29,166,4814
15-30|06-12|2.0,171,159,13,158,2054,3,168,504,29,142,4118
<=15|12-18|1.0,157,142,43,113,4859,14,143,2002,33,124,4092
30-60|12-18|2.0,147,138,28,119,3332,10,137,1370,32,115,3680
15-30|12-18|3.0,143,132,6,137,822,6,137,822,21,122,2562
<=15|00-06|3.0,130,116,3,127,381,2,128,256,7,123,861
<=15|06-12|1.0,124,111,41,80,3280,11,112,1232,31,92,2852
<=15|18-24|1.0,122,112,50,69,3450,15,107,1605,33,89,2937
30-60|18-24|2.0,113,109,17,96,1632,7,106,742,24,89,2136
15-30|18-24|3.0,109,102,6,103,618,1,108,108,13,96,1248
15-30|12-18|1.0,103,98,29,73,2117,9,94,846,19,84,1596
15-30|06-12|3.0,102,94,4,98,392,4,98,392,11,91,1001
30-60|12-18|3.0,96,91,3,93,279,0,96,0,7,89,623
>60|18-24|2.0,84,81,13,71,923,2,82,164,10,74,740
>60|12-18|2.0,82,80,11,71,781,5,77,385,17,65,1105
30-60|06-12|2.0,82,78,10,72,720,2,80,160,11,71,781
>60|12-18|3.0,79,78,1,78,78,2,77,154,10,69,690
15-30|00-06|2.0,78,73,18,60,1080,2,75,150,19,58,1102
30-60|06-12|3.0,76,71,2,74,148,0,76,0,7,69,483
15-30|18-24|1.0,75,74,28,44,1232,8,67,536,18,57,1026
30-60|18-24|3.0,57,55,4,53,212,4,53,212,4,53,212
15-30|06-12|1.0,57,54,19,38,722,7,50,350,19,38,722
>60|06-12|3.0,56,55,3,53,159,1,55,55,8,48,384
<=15|00-06|1.0,54,54,22,30,660,7,46,322,15,38,570
>60|18-24|3.0,51,48,3,48,144,1,50,50,3,48,144
15-30|00-06|3.0,49,46,1,48,48,0,49,0,1,48,48
30-60|00-06|2.0,39,38,5,33,165,1,38,38,7,32,224
>60|06-12|2.0,37,35,4,33,132,2,35,70,9,28,252
30-60|12-18|1.0,36,33,16,20,320,6,30,180,8,28,224
30-60|18-24|1.0,35,32,16,18,288,5,30,150,8,27,216
30-60|00-06|3.0,31,31,2,29,58,2,29,58,6,25,150
>60|00-06|2.0,29,29,3,26,78,1,28,28,3,26,78
>60|00-06|3.0,26,25,1,25,25,0,26,0,2,24,48
<=15|12-18|-1.0,25,19,7,17,119,4,20,80,5,19,95
30-60|06-12|1.0,24,19,8,16,128,1,22,22,5,18,90
15-30|00-06|1.0,22,21,8,11,88,1,21,21,8,14,112
<=15|18-24|-1.0,19,19,12,5,60,5,14,70,8,11,88
<=15|06-12|-1.0,17,17,9,6,54,7,9,63,9,7,63
>60|12-18|1.0,17,16,6,11,66,0,17,0,2,15,30
15-30|12-18|-1.0,15,14,9,6,54,2,11,22,3,10,30
15-30|18-24|-1.0,12,12,8,1,8,5,7,35,7,5,35
<=15|00-06|-1.0,11,11,3,7,21,2,8,16,3,7,21
30-60|12-18|-1.0,10,10,8,1,8,3,7,21,4,6,24
>60|06-12|1.0,10,10,3,6,18,1,9,9,3,7,21
30-60|00-06|1.0,9,9,4,4,16,1,7,7,1,7,7
30-60|18-24|-1.0,9,8,6,3,18,3,6,18,5,4,20
15-30|06-12|-1.0,9,9,5,3,15,3,6,18,3,6,18
30-60|06-12|-1.0,8,8,5,2,10,1,7,7,1,7,7
>60|18-24|-1.0,8,6,4,4,16,2,6,12,2,6,12
30-60|00-06|-1.0,8,8,6,2,12,0,8,0,0,8,0
>60|18-24|1.0,8,8,2,6,12,0,8,0,1,7,7
15-30|00-06|-1.0,7,6,6,1,6,3,3,9,5,1,5
<=15|18-24|4.0,6,4,0,6,0,0,6,0,0,6,0
>60|12-18|-1.0,6,6,2,4,8,2,4,8,2,4,8
>60|00-06|1.0,5,5,3,2,6,1,4,4,1,4,4
>60|00-06|-1.0,4,4,2,2,4,0,4,0,0,4,0
<=15|00-06|4.0,3,3,0,3,0,0,3,0,0,3,0
>60|06-12|-1.0,2,2,1,1,1,1,1,1,1,1,1
>60|06-12|4.0,2,2,0,2,0,0,2,0,0,2,0
>60|12-18|4.0,2,2,0,2,0,0,2,0,0,2,0
30-60|00-06|4.0,2,2,0,2,0,0,2,0,0,2,0
15-30|00-06|4.0,2,2,0,2,0,0,2,0,0,2,0
>60|00-06|4.0,1,1,0,1,0,0,1,0,0,1,0
<=15|12-18|4.0,1,1,0,1,0,0,1,0,0,1,0
30-60|18-24|4.0,1,1,0,1,0,0,1,0,0,1,0
30-60|06-12|4.0,1,1,0,1,0,0,1,0,0,1,0
15-30|12-18|4.0,1,1,0,1,0,0,1,0,0,1,0
>60|18-24|4.0,1,1,0,1,0,0,1,0,0,1,0
