stratum,n_records,n_patients,n_pos__deterioration_icu_24h,n_neg__deterioration_icu_24h,n_pairs__deterioration_icu_24h,n_pos__deterioration_mortality_28d,n_neg__deterioration_mortality_28d,n_pairs__deterioration_mortality_28d,n_pos__deterioration_mortality_365d,n_neg__deterioration_mortality_365d,n_pairs__deterioration_mortality_365d
<=15|12-18|0|2.0,415,380,36,379,13644,12,403,4836,50,365,18250
<=15|12-18|1|2.0,329,297,28,301,8428,10,319,3190,43,286,12298
<=15|18-24|0|2.0,305,268,38,267,10146,6,299,1794,41,264,10824
<=15|12-18|0|3.0,279,264,1,278,278,2,277,554,16,263,4208
<=15|06-12|0|2.0,230,214,14,216,3024,4,226,904,30,200,6000
<=15|18-24|1|2.0,219,191,13,206,2678,2,217,434,22,197,4334
<=15|12-18|1|3.0,209,196,4,205,820,1,208,208,15,194,2910
<=15|18-24|0|3.0,194,178,2,192,384,3,191,573,6,188,1128
15-30|12-18|0|2.0,192,173,33,159,5247,17,175,2975,50,142,7100
<=15|06-12|1|2.0,179,165,15,164,2460,6,173,1038,21,158,3318
<=15|06-12|0|3.0,161,151,2,159,318,2,159,318,10,151,1510
<=15|18-24|1|3.0,156,142,4,152,608,2,154,308,9,147,1323
15-30|12-18|1|2.0,134,128,18,116,2088,4,130,520,28,106,2968
<=15|06-12|1|3.0,123,119,2,121,242,0,123,0,5,118,590
15-30|06-12|0|2.0,104,101,7,97,679,2,102,204,20,84,1680
<=15|00-06|0|2.0,101,93,5,96,480,3,98,294,7,94,658
<=15|00-06|1|2.0,100,93,14,86,1204,2,98,196,10,90,900
30-60|12-18|0|2.0,99,96,20,79,1580,10,89,890,25,74,1850
15-30|18-24|1|2.0,98,93,14,84,1176,5,93,465,14,84,1176
15-30|18-24|0|2.0,97,93,12,85,1020,2,95,190,15,82,1230
<=15|12-18|0|1.0,89,82,27,61,1647,8,81,648,16,73,1168
15-30|12-18|0|3.0,77,72,2,75,150,2,75,150,11,66,726
30-60|18-24|0|2.0,75,73,13,62,806,5,70,350,17,58,986
<=15|00-06|0|3.0,74,69,3,71,213,1,73,73,2,72,144
<=15|18-24|0|1.0,72,66,27,42,1134,7,65,455,15,57,855
<=15|06-12|0|1.0,70,64,21,48,1008,6,63,378,13,56,728
<=15|12-18|1|1.0,68,64,16,52,832,6,62,372,17,51,867
15-30|06-12|1|2.0,67,61,6,61,366,1,66,66,9,58,522
15-30|12-18|1|3.0,66,64,4,62,248,4,62,248,10,56,560
15-30|18-24|0|3.0,64,59,5,59,295,1,63,63,9,55,495
15-30|06-12|0|3.0,63,60,3,60,180,3,60,180,9,54,486
15-30|12-18|0|1.0,58,55,22,36,792,6,52,312,13,45,585
<=15|00-06|1|3.0,56,52,0,56,0,1,55,55,5,51,255
>60|18-24|0|2.0,55,52,8,47,376,2,53,106,9,46,414
<=15|06-12|1|1.0,54,51,20,32,640,5,49,245,18,36,648
30-60|06-12|0|2.0,50,47,6,44,264,0,50,0,8,42,336
<=15|18-24|1|1.0,50,49,23,27,621,8,42,336,18,32,576
30-60|12-18|0|3.0,49,48,1,48,48,0,49,0,4,45,180
30-60|12-18|1|2.0,48,45,8,40,320,0,48,0,7,41,287
30-60|06-12|0|3.0,47,44,1,46,46,0,47,0,4,43,172
30-60|12-18|1|3.0,47,44,2,45,90,0,47,0,3,44,132
>60|12-18|0|2.0,46,45,5,41,205,2,44,88,10,36,360
15-30|18-24|1|3.0,45,45,1,44,44,0,45,0,4,41,164
15-30|12-18|1|1.0,45,43,7,37,259,3,42,126,6,39,234
>60|12-18|0|3.0,44,44,1,43,43,1,43,43,5,39,195
15-30|18-24|0|1.0,44,43,18,25,450,5,39,195,9,35,315
15-30|00-06|0|2.0,43,40,10,33,330,2,40,80,12,30,360
15-30|06-12|1|3.0,39,37,1,38,38,1,38,38,2,37,74
30-60|18-24|1|2.0,38,37,4,34,136,2,36,72,7,31,217
30-60|18-24|0|3.0,37,36,2,35,70,3,34,102,3,34,102
>60|12-18|1|2.0,36,36,6,30,180,3,33,99,7,29,203
15-30|06-12|0|1.0,36,34,8,28,224,3,33,99,10,26,260
>60|12-18|1|3.0,35,35,0,35,0,1,34,34,5,30,150
15-30|00-06|1|2.0,35,33,8,27,216,0,35,0,7,28,196
<=15|00-06|0|1.0,32,32,12,20,240,4,28,112,11,21,231
30-60|06-12|1|2.0,32,32,4,28,112,2,30,60,3,29,87
>60|18-24|0|3.0,31,29,2,29,58,0,31,0,2,29,58
15-30|18-24|1|1.0,31,31,10,19,190,3,28,84,9,22,198
>60|06-12|0|3.0,30,30,2,28,56,1,29,29,3,27,81
30-60|06-12|1|3.0,29,29,1,28,28,0,29,0,3,26,78
>60|18-24|1|2.0,29,29,5,24,120,0,29,0,1,28,28
>60|06-12|1|3.0,26,26,1,25,25,0,26,0,5,21,105
15-30|00-06|1|3.0,25,25,1,24,24,0,25,0,1,24,24
15-30|00-06|0|3.0,24,24,0,24,0,0,24,0,0,24,0
30-60|12-18|0|1.0,23,22,14,9,126,3,20,60,5,18,90
<=15|00-06|1|1.0,22,22,10,10,100,3,18,54,4,17,68
30-60|00-06|0|3.0,22,22,1,21,21,0,22,0,4,18,72
>60|06-12|0|2.0,21,20,2,19,38,0,21,0,5,16,80
15-30|06-12|1|1.0,21,20,11,10,110,4,17,68,9,12,108
30-60|00-06|1|2.0,21,20,3,18,54,1,20,20,5,16,80
30-60|18-24|1|3.0,20,20,2,18,36,1,19,19,1,19,19
>60|18-24|1|3.0,20,20,1,19,19,1,19,19,1,19,19
30-60|18-24|1|1.0,19,19,8,11,88,4,15,60,5,14,70
30-60|00-06|0|2.0,18,18,2,15,30,0,18,0,2,16,32
<=15|12-18|0|-1.0,16,12,6,9,54,4,12,48,4,12,48
>60|00-06|1|2.0,16,16,2,14,28,1,15,15,3,13,39
30-60|18-24|0|1.0,16,14,8,7,56,1,15,15,3,13,39
