table,row_key,column,text,value,format,source_file,source_key,source_column,aggregate,unit
T1,R1_prevalence,deterioration_icu_24h,0.5000,0.5,.4f,results/p3_arms.csv,arm=R1_prevalence;label=deterioration_icu_24h,auroc,,record
T1,R1_prevalence,deterioration_icu_24h,0.5000,0.5,.4f,results/p3_arms.csv,arm=R1_prevalence;label=deterioration_icu_24h,ci_lo,,record
T1,R1_prevalence,deterioration_icu_24h,0.5000,0.5,.4f,results/p3_arms.csv,arm=R1_prevalence;label=deterioration_icu_24h,ci_hi,,record
T1,R1_prevalence,deterioration_mortality_28d,0.5000,0.5,.4f,results/p3_arms.csv,arm=R1_prevalence;label=deterioration_mortality_28d,auroc,,record
T1,R1_prevalence,deterioration_mortality_28d,0.5000,0.5,.4f,results/p3_arms.csv,arm=R1_prevalence;label=deterioration_mortality_28d,ci_lo,,record
T1,R1_prevalence,deterioration_mortality_28d,0.5000,0.5,.4f,results/p3_arms.csv,arm=R1_prevalence;label=deterioration_mortality_28d,ci_hi,,record
T1,R1_prevalence,deterioration_mortality_365d,0.5000,0.5,.4f,results/p3_arms.csv,arm=R1_prevalence;label=deterioration_mortality_365d,auroc,,record
T1,R1_prevalence,deterioration_mortality_365d,0.5000,0.5,.4f,results/p3_arms.csv,arm=R1_prevalence;label=deterioration_mortality_365d,ci_lo,,record
T1,R1_prevalence,deterioration_mortality_365d,0.5000,0.5,.4f,results/p3_arms.csv,arm=R1_prevalence;label=deterioration_mortality_365d,ci_hi,,record
T1,R2_demo,deterioration_icu_24h,0.6017,0.6016879093644892,.4f,results/p3_arms.csv,arm=R2_demo;label=deterioration_icu_24h,auroc,,record
T1,R2_demo,deterioration_icu_24h,0.5752,0.5751902161404702,.4f,results/p3_arms.csv,arm=R2_demo;label=deterioration_icu_24h,ci_lo,,record
T1,R2_demo,deterioration_icu_24h,0.6271,0.6270676370057853,.4f,results/p3_arms.csv,arm=R2_demo;label=deterioration_icu_24h,ci_hi,,record
T1,R2_demo,deterioration_mortality_28d,0.6963,0.6962665720534094,.4f,results/p3_arms.csv,arm=R2_demo;label=deterioration_mortality_28d,auroc,,record
T1,R2_demo,deterioration_mortality_28d,0.6608,0.6607877716107239,.4f,results/p3_arms.csv,arm=R2_demo;label=deterioration_mortality_28d,ci_lo,,record
T1,R2_demo,deterioration_mortality_28d,0.7307,0.7306935309583146,.4f,results/p3_arms.csv,arm=R2_demo;label=deterioration_mortality_28d,ci_hi,,record
T1,R2_demo,deterioration_mortality_365d,0.7458,0.7457553903828724,.4f,results/p3_arms.csv,arm=R2_demo;label=deterioration_mortality_365d,auroc,,record
T1,R2_demo,deterioration_mortality_365d,0.7205,0.7205256134194865,.4f,results/p3_arms.csv,arm=R2_demo;label=deterioration_mortality_365d,ci_lo,,record
T1,R2_demo,deterioration_mortality_365d,0.7696,0.7695757116132945,.4f,results/p3_arms.csv,arm=R2_demo;label=deterioration_mortality_365d,ci_hi,,record
T1,R3_acqctx_pre,deterioration_icu_24h,0.7972,0.7971999468932555,.4f,results/p3_arms.csv,arm=R3_acqctx_pre;label=deterioration_icu_24h,auroc,,record
T1,R3_acqctx_pre,deterioration_icu_24h,0.7806,0.7806223460225721,.4f,results/p3_arms.csv,arm=R3_acqctx_pre;label=deterioration_icu_24h,ci_lo,,record
T1,R3_acqctx_pre,deterioration_icu_24h,0.8138,0.8138348456761821,.4f,results/p3_arms.csv,arm=R3_acqctx_pre;label=deterioration_icu_24h,ci_hi,,record
T1,R3_acqctx_pre,deterioration_mortality_28d,0.7587,0.7586963387905765,.4f,results/p3_arms.csv,arm=R3_acqctx_pre;label=deterioration_mortality_28d,auroc,,record
T1,R3_acqctx_pre,deterioration_mortality_28d,0.7264,0.7263843102091624,.4f,results/p3_arms.csv,arm=R3_acqctx_pre;label=deterioration_mortality_28d,ci_lo,,record
T1,R3_acqctx_pre,deterioration_mortality_28d,0.7903,0.79034374590703,.4f,results/p3_arms.csv,arm=R3_acqctx_pre;label=deterioration_mortality_28d,ci_hi,,record
T1,R3_acqctx_pre,deterioration_mortality_365d,0.7241,0.7241058215184337,.4f,results/p3_arms.csv,arm=R3_acqctx_pre;label=deterioration_mortality_365d,auroc,,record
T1,R3_acqctx_pre,deterioration_mortality_365d,0.7029,0.7029247799287801,.4f,results/p3_arms.csv,arm=R3_acqctx_pre;label=deterioration_mortality_365d,ci_lo,,record
T1,R3_acqctx_pre,deterioration_mortality_365d,0.7441,0.7441125634113148,.4f,results/p3_arms.csv,arm=R3_acqctx_pre;label=deterioration_mortality_365d,ci_hi,,record
T1,R3b_acqctx_window,deterioration_icu_24h,0.8010,0.8009957514604354,.4f,results/p3_arms.csv,arm=R3b_acqctx_window;label=deterioration_icu_24h,auroc,,record
T1,R3b_acqctx_window,deterioration_icu_24h,0.7845,0.7844929359659898,.4f,results/p3_arms.csv,arm=R3b_acqctx_window;label=deterioration_icu_24h,ci_lo,,record
T1,R3b_acqctx_window,deterioration_icu_24h,0.8174,0.8173635611713485,.4f,results/p3_arms.csv,arm=R3b_acqctx_window;label=deterioration_icu_24h,ci_hi,,record
T1,R3b_acqctx_window,deterioration_mortality_28d,0.7637,0.7636842114726166,.4f,results/p3_arms.csv,arm=R3b_acqctx_window;label=deterioration_mortality_28d,auroc,,record
T1,R3b_acqctx_window,deterioration_mortality_28d,0.7303,0.7302641139507727,.4f,results/p3_arms.csv,arm=R3b_acqctx_window;label=deterioration_mortality_28d,ci_lo,,record
T1,R3b_acqctx_window,deterioration_mortality_28d,0.7958,0.7958082184921851,.4f,results/p3_arms.csv,arm=R3b_acqctx_window;label=deterioration_mortality_28d,ci_hi,,record
T1,R3b_acqctx_window,deterioration_mortality_365d,0.7272,0.7272350599882115,.4f,results/p3_arms.csv,arm=R3b_acqctx_window;label=deterioration_mortality_365d,auroc,,record
T1,R3b_acqctx_window,deterioration_mortality_365d,0.7057,0.7057214159612204,.4f,results/p3_arms.csv,arm=R3b_acqctx_window;label=deterioration_mortality_365d,ci_lo,,record
T1,R3b_acqctx_window,deterioration_mortality_365d,0.7474,0.747444679287476,.4f,results/p3_arms.csv,arm=R3b_acqctx_window;label=deterioration_mortality_365d,ci_hi,,record
T1,R4_demo_acq,deterioration_icu_24h,0.8094,0.8093587360594795,.4f,results/p3_arms.csv,arm=R4_demo_acq;label=deterioration_icu_24h,auroc,,record
T1,R4_demo_acq,deterioration_icu_24h,0.7928,0.7927995163813679,.4f,results/p3_arms.csv,arm=R4_demo_acq;label=deterioration_icu_24h,ci_lo,,record
T1,R4_demo_acq,deterioration_icu_24h,0.8255,0.8254558772702772,.4f,results/p3_arms.csv,arm=R4_demo_acq;label=deterioration_icu_24h,ci_hi,,record
T1,R4_demo_acq,deterioration_mortality_28d,0.8102,0.8101851491147687,.4f,results/p3_arms.csv,arm=R4_demo_acq;label=deterioration_mortality_28d,auroc,,record
T1,R4_demo_acq,deterioration_mortality_28d,0.7818,0.7818403287210419,.4f,results/p3_arms.csv,arm=R4_demo_acq;label=deterioration_mortality_28d,ci_lo,,record
T1,R4_demo_acq,deterioration_mortality_28d,0.8371,0.8370784712357014,.4f,results/p3_arms.csv,arm=R4_demo_acq;label=deterioration_mortality_28d,ci_hi,,record
T1,R4_demo_acq,deterioration_mortality_365d,0.8033,0.8032795456994188,.4f,results/p3_arms.csv,arm=R4_demo_acq;label=deterioration_mortality_365d,auroc,,record
T1,R4_demo_acq,deterioration_mortality_365d,0.7832,0.7831604098018676,.4f,results/p3_arms.csv,arm=R4_demo_acq;label=deterioration_mortality_365d,ci_lo,,record
T1,R4_demo_acq,deterioration_mortality_365d,0.8221,0.8220566172014621,.4f,results/p3_arms.csv,arm=R4_demo_acq;label=deterioration_mortality_365d,ci_hi,,record
T1,R5_tabular,deterioration_icu_24h,0.9164,0.9163855328376704,.4f,results/p3_arms.csv,arm=R5_tabular;label=deterioration_icu_24h,auroc,,record
T1,R5_tabular,deterioration_icu_24h,0.9046,0.9046447741488828,.4f,results/p3_arms.csv,arm=R5_tabular;label=deterioration_icu_24h,ci_lo,,record
T1,R5_tabular,deterioration_icu_24h,0.9278,0.9278321751205216,.4f,results/p3_arms.csv,arm=R5_tabular;label=deterioration_icu_24h,ci_hi,,record
T1,R5_tabular,deterioration_mortality_28d,0.9102,0.9102110998371638,.4f,results/p3_arms.csv,arm=R5_tabular;label=deterioration_mortality_28d,auroc,,record
T1,R5_tabular,deterioration_mortality_28d,0.8884,0.8883743835947363,.4f,results/p3_arms.csv,arm=R5_tabular;label=deterioration_mortality_28d,ci_lo,,record
T1,R5_tabular,deterioration_mortality_28d,0.9294,0.929405966566392,.4f,results/p3_arms.csv,arm=R5_tabular;label=deterioration_mortality_28d,ci_hi,,record
